,0,1,2
1038,19,6404,5022.9326
1040,20,27,1721.7192
1042,20,36,1810.5479
1044,20,297,203.03796
1046,20,346,237.21045
1048,20,851,557.313
1050,20,1002,366.64526
1052,20,1146,2.4409847
1054,20,1499,133.30566
1056,20,2543,172.06067
1058,20,2553,420.5011
1060,20,3910,145.76471
1062,20,3940,123.17682
1064,20,4149,305.60254
1066,20,4858,140.25372
1068,20,7618,2527.3782
1070,20,7634,526.1351
1072,20,7639,1620.1399
1074,20,7655,2301.8984
1076,20,7658,1583.7539
1078,20,7681,3979.7676
1080,20,7695,1035.8135
1082,20,7696,2748.7988
1084,20,7740,1979.4663
1086,20,7760,1959.0376
1088,21,103,2383.8047
1090,21,220,1676.7324
1092,21,420,346.9781
1094,21,687,1284.9333
1096,21,694,292.72534
1098,21,879,133.21793
1100,21,1613,283.62305
1102,21,1709,1027.888
1104,21,2187,554.87915
1106,21,2475,798.2517
1108,21,2796,0.09415746
1110,21,2894,273.0147
1112,21,3061,291.5678
1114,21,4622,178.90628
1116,21,7256,1602.642
1118,21,7279,343.02966
1120,21,7297,2341.0916
1122,21,7320,1722.7009
1124,21,7331,1847.7946
1126,21,7338,1125.5961
1128,21,7339,2393.9846
1130,21,7376,2862.0352
1132,21,7398,1943.6023
1134,21,7401,1841.4634
1136,21,7428,802.04144
1138,21,7447,953.2705
1140,22,310,1147.7263
1142,22,318,792.1089
1144,22,320,108.26886
1146,22,487,307.79907
1148,22,633,735.7926
1150,22,1686,275.64557
1152,22,1687,369.86603
1154,22,1848,73.29248
1156,22,4705,140.30682
1158,22,6470,2113.6824
1160,22,6540,1968.9886
1162,22,6541,3177.7368
1164,22,6596,1923.6455
1166,22,6603,724.9253
1168,22,6621,1749.194
1170,22,6654,3598.2437
1172,23,11,126.21817
1174,23,44,895.3358
1176,23,270,145.82666
1178,23,1082,276.5475
1180,23,1084,557.92505
1182,23,1177,895.3257
1184,23,1434,199.45563
1186,23,1615,199.81213
1188,23,1766,151.65952
1190,23,1884,171.00311
1192,23,2155,115.06647
1194,23,2257,111.819885
1196,23,2547,188.69348
1198,23,2979,137.57593
1200,23,3189,139.8923
1202,23,3845,278.89758
1204,23,3847,250.78186
1206,23,4467,179.96924
1208,23,4527,266.17816
1210,23,4723,179.12689
1212,23,4740,114.151794
1214,23,6549,438.04614
1216,23,6593,1490.9427
1218,23,6604,2599.6104
1220,23,6636,3005.6536
1222,23,6639,2014.2642
1224,23,6663,2813.2705
1226,23,6664,2581.5544
1228,23,6677,2196.5652
1230,23,6720,3622.184
1232,23,6721,3070.6333
1234,23,6730,2483.346
1236,23,6748,1096.3965
1238,23,6752,883.459
1240,23,6789,1656.559
1242,24,267,626.3877
1244,24,382,167.76431
1246,24,605,735.1438
1248,24,623,206.91418
1250,24,631,195.26245
1252,24,1326,257.10864
1254,24,1376,525.3927
1256,24,1579,120.78119
1258,24,1927,755.65515
1260,24,2997,96.6445
1262,24,3024,114.466064
1264,24,3796,176.23499
1266,24,3800,323.38354
1268,24,4126,256.87573
1270,24,4289,355.69934
1272,24,4298,148.29843
1274,24,4790,206.54639
1276,24,6742,1959.3242
1278,24,6765,2167.901
1280,24,6786,2285.814
1282,24,6799,3222.4363
1284,24,6803,2498.2976
1286,24,6817,1986.9536
1288,24,6835,2272.0356
1290,24,6849,1669.6628
1292,24,6871,3180.653
1294,24,6878,2811.5327
1296,24,6885,1192.5709
1298,24,6901,1688.2494
1300,25,121,2036.4116
1302,25,154,159.64572
1304,25,248,125.02832
1306,25,499,745.4446
1308,25,1099,760.80566
1310,25,1281,312.60614
1312,25,1460,14.60321
1314,25,1490,321.05273
1316,25,2582,465.49146
1318,25,3119,17.049755
1320,25,3209,154.39557
1322,25,3761,402.91666
1324,25,4015,119.35065
1326,25,6418,602.01
1328,25,6466,4691.8003
1330,25,6468,2045.1931
1332,25,6489,1814.0024
1334,25,6522,1972.374
1336,25,6531,1879.1956
1338,25,6551,2624.8264
1340,25,6606,1390.7585
1342,25,6612,804.29987
1344,26,381,192.9956
1346,26,527,298.27258
1348,26,539,740.8501
1350,26,558,194.46143
1352,26,884,35.529846
1354,26,916,599.6802
1356,26,1057,263.6963
1358,26,1373,756.4773
1360,26,1637,276.2964
1362,26,1834,273.04004
1364,26,2238,751.9623
1366,26,2319,845.1992
1368,26,2341,747.64844
1370,26,2864,363.2573
1372,26,3038,1.3545337
1374,26,3178,512.06006
1376,26,3232,208.10852
1378,26,4865,104.469376
1380,26,4975,217.1806
1382,26,5020,25.008812
1384,26,7678,1463.4722
1386,26,7689,7222.8047
1388,26,7690,2228.7283
1390,26,7703,957.6376
1392,26,7744,1646.945
1394,26,7750,4097.808
1396,26,7767,3683.1787
1398,26,7773,4168.329
1400,26,7776,486.33044
1402,26,7816,4002.876
1404,26,7830,3705.4468
1406,26,7836,452.36792
1408,26,7840,2701.6926
1410,26,7889,1007.5962
1412,26,7894,4475.8613
1414,27,20,1721.7197
1416,27,346,146.8125
1418,27,578,1226.6006
1420,27,826,815.3862
1422,27,851,674.35645
1424,27,887,175.42474
1426,27,1016,898.4402
1428,27,1163,830.4204
1430,27,1681,160.67285
1432,27,1763,126.421265
1434,27,2205,242.59863
1436,27,2238,634.4397
1438,27,2546,209.0798
1440,27,3146,306.43542
1442,27,3185,184.1507
1444,27,4187,0.000151366
1445,27,4304,247.71277
1447,27,4644,312.45282
1449,27,7639,2051.9902
1451,27,7648,2210.6216
1453,27,7664,577.87317
1455,27,7673,1344.1995
1457,27,7695,3133.3335
1459,27,7696,2804.3274
1461,27,7717,906.6383
1463,27,7730,3020.8325
1465,27,7740,2137.8677
1467,27,7748,4150.4424
1469,27,7760,1269.0267
1471,27,7771,1019.6144
1473,27,7782,2454.491
1475,27,7803,3184.0862
1477,27,7822,442.54248
1479,28,49,1183.9436
1481,28,397,1468.3705
1483,28,986,301.7884
1485,28,1257,101.966
1487,28,1276,130.90894
1489,28,1702,993.1824
1491,28,3725,265.8715
1493,28,4961,227.23727
1495,28,4999,128.94633
1497,28,5360,2970.644
1499,28,5363,1891.5907
1501,28,5364,1341.5399
1503,28,5412,1805.7213
1505,28,5438,996.43054
1507,28,5444,1085.7646
1509,28,5476,2019.4303
1511,29,59,126.5683
1513,29,217,1038.1904
1515,29,230,1539.9609
1517,29,233,139.13354
1519,29,1072,136.16089
1521,29,1523,138.57074
1523,29,1567,116.219055
1525,29,1580,551.20764
1527,29,1621,108.5199
1529,29,2057,274.82092
1531,29,2182,122.25366
1533,29,2220,834.022
1535,29,2279,795.25854
1537,29,3120,171.10199
1539,29,3412,588.87524
1541,29,3747,120.87903
1543,29,3780,134.33813
1545,29,3869,154.89783
1547,29,4010,230.93207
1549,29,4534,197.92487
1551,29,5583,891.00684
1553,29,5603,2450.39
1555,29,5608,2330.0125
1557,29,5616,3638.7454
1559,29,5626,3067.3762
1561,29,5654,722.0587
1563,29,5662,318.0747
1565,29,5668,2146.1323
1567,29,5669,1945.4443
1569,29,5682,1363.4108
1571,29,5694,3615.2812
1573,29,5695,2629.971
1575,29,5702,1179.291
1577,29,5725,2586.2192
1579,29,5728,2487.5117
1581,30,100,133.8772
